Start Time,End Time,Original,Translation,English Translation,Score,Comment
1900-01-01 00:00:00,1900-01-01 00:00:04,"La Verne, California, just 30 miles from Los Angeles,","la [UNK] , 30 kilometer van los angeles .","la [UNK] , 30 miles of los angeles .",1,Didn't translate the city and country. 'Of' should have been 'from'.
1900-01-01 00:00:04,1900-01-01 00:00:07,this suburb is home to a neighborhood Italian bistro,dit [UNK] is thuis om een [UNK] van de [UNK] te [UNK],this [UNK] is home to [UNK] a [UNK] of [UNK],1,Many [UNK] present. Couldn't translate some rare words.
1900-01-01 00:00:07,1900-01-01 00:00:09,called Charlie's.,[UNK] .,[UNK] .,1,Missed the whole sentence.
1900-01-01 00:00:09,1900-01-01 00:00:13,"And in 2010, it was bought by the Leyva family.",en in 2010 werd het gekocht door de [UNK] familie .,and in 2010 was [UNK] it by the [UNK] family .,1,Because it couldn't translate the word 'bought' it also ruined the sentence structure. Family name was not translated as well.
1900-01-01 00:00:13,1900-01-01 00:00:14,Would you like a booth?,wil je een booth ?,would you like a booth ?,3,
1900-01-01 00:00:14,1900-01-01 00:00:16,I started working here 10 years ago.,ik werk hier tien jaar geleden .,i work in ten years ago .,1,Used present tense for the verb instead of the past one.
1900-01-01 00:00:16,1900-01-01 00:00:17,I was a waitress here.,ik was hier een [UNK] .,i was here a [UNK] .,2,"The sentence structure is wrong due to not being able to translate ""waitress""."
1900-01-01 00:00:17,1900-01-01 00:00:20,"And then I had the opportunity to take it over,",en toen heb ik de kans gehad . . .,and then i had a chance . . .,1,"Changed ""opportunity"" to ""chance"" and didn't finish the whole sentence."
1900-01-01 00:00:20,1900-01-01 00:00:23,"but I didn't have the money or the collateral,","maar ik had het geld niet of de [UNK] ,","but i didn't have the money or the [UNK] ,",2,"Couldn't translate the word ""collateral""."
1900-01-01 00:00:23,1900-01-01 00:00:26,so I had to go to my mom and my sister.,dus ik moest naar mijn moeder en mijn zus gaan .,so i had to go to my mom and my sister .,3,
1900-01-01 00:00:26,1900-01-01 00:00:28,Pat and Val both full-time school teachers,[UNK] en [UNK] maken [UNK] .,[UNK] and [UNK] make [UNK] .,1,Many [UNK] present. Couldn't translate some rare words.
1900-01-01 00:00:28,1900-01-01 00:00:32,finance the restaurant and put their houses up as collateral,[UNK] de restaurant en hun huizen [UNK],? [UNK] restaurant and houses ?,1,The whole sentence is translated wrong and for some reason the translation includes symbols.
1900-01-01 00:00:32,1900-01-01 00:00:35,to help Tatiana fulfill her dream.,om haar droom [UNK] .,to cover her dream .,1,"It misses two worods ""help Tatiana"" and instead of ""cover"" it should say ""fulfill."""
